Studyc,Type,x,N,p0,pa,pb,p0a
1,1,NoHCC,13,99,NA,NA,NA,NA
2,2,NoHCC,12,259,NA,NA,NA,NA
3,3,NoHCC,32,1057,NA,NA,NA,NA
4,4,NoHCC,10,37,NA,NA,NA,NA
5,5,NoHCC,0,15,NA,NA,NA,NA
6,6,NoHCC,5,24,NA,NA,NA,NA
7,7,NoHCC,2,23,NA,NA,NA,NA
8,8,NoHCC,2,88,NA,NA,NA,NA
9,9,NoHCC,0,32,NA,NA,NA,NA
10,10,NoHCC,15,138,NA,NA,NA,NA
11,1,BCLC0,33,70,NA,NA,NA,NA
12,2,BCLC0,12,15,NA,NA,NA,NA
13,3,BCLC0,27,32,NA,NA,NA,NA
14,8,BCLC0,6,9,NA,NA,NA,NA
15,9,BCLC0,27,32,NA,NA,NA,NA
16,1,BCLCA,66,77,NA,NA,NA,NA
17,2,BCLCA,13,15,NA,NA,NA,NA
18,3,BCLCA,9,10,NA,NA,NA,NA
19,2,BCLCBC,5,5,NA,NA,NA,NA
20,4,BCLCBC,27,33,NA,NA,NA,NA
21,4,BCLC0A,27,42,NA,NA,NA,NA
22,10,BCLC0A,142,161,NA,NA,NA,NA
23,5,Overall1,11,15,0.2,0.6,0.2,NA
24,7,Overall2,24,25,NA,NA,0.88,0.12
